Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1365    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:24(canAttack)
     4533    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      248    0.001    0.000    0.003    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:88(colonize)
      110    0.001    0.000    0.014    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\__init__.py:2052(<genexpr>)
     2231    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     3990    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      589    0.001    0.000    0.014    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:83(rollDicesForAttackerAndDefender)
      318    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     5333    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
    148/3    0.001    0.000    0.002    0.001 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1370(_parseNoCache)
     1531    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:763(can_hover)
     1178    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
     3070    0.001    0.000    0.001    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Territory.py:18(getNonDefendingTroops)
      852    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      337    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:429(add)
     1941    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
        3    0.001    0.000    0.001    0.000 {method 'get_rect' of '_freetype.Font' objects}
      161    0.001    0.000    0.045    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\re.py:288(_compile)
     1224    0.001    0.000    0.001    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:98(_compare)
